workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
6,2,0,0,1,2,0,0,1,91.441,0,0,642.821,0.121,0,0,20.406
8,1,1,1,0,2,0,1,2,91.182,132.024,330.827,0,0.12,0,0.002,55.32
8,1,1,1,2,0,1,1,1,131.733,107.181,623.529,742.41,0,0.021,0.002,66.833
8,1,1,0,1,1,1,2,1,126.222,105.484,0,665.384,0.138,0.021,0.002,68.953
7,1,1,0,1,1,1,1,1,106.455,103.192,0,654.879,0.124,0.019,0.002,48.688
5,0,0,1,0,1,1,2,0,0,0,214.26,0,0.088,0.014,0.001,0
6,0,0,1,1,2,1,1,0,0,0,323.998,627.838,0.107,0.016,0.002,0
4,1,0,0,1,1,0,1,0,52.524,0,0,346.678,0.079,0,0.002,0
7,0,1,2,1,0,0,2,1,0,161.775,384.509,734.376,0,0,0.002,77.026
6,1,0,0,2,0,1,1,1,105.753,0,0,666.909,0,0.017,0.002,20.951
5,1,0,1,1,1,0,1,0,70.028,0,323.513,625.926,0.088,0,0.002,0
8,2,0,1,0,0,1,2,2,102.008,0,335.879,0,0,0.02,0.002,52.834
8,1,1,2,1,1,0,0,2,113.103,130.328,393.761,752.529,0.131,0,0,65.905
2,0,1,0,0,1,0,0,0,0,15.108,0,0,0.061,0,0,0
6,0,1,0,1,1,1,1,1,0,121.091,0,601.164,0.107,0.016,0.002,19.315
5,1,1,0,1,1,1,0,0,75.44,55.279,0,612.761,0.088,0.013,0,0
7,0,2,0,1,1,1,1,1,0,92.645,0,643.452,0.122,0.019,0.002,48.721
6,0,1,1,0,1,2,0,1,0,108.931,328.21,0,0.103,0.015,0,19.339
9,1,2,1,1,1,0,1,2,110.577,88.806,365.347,689.346,0.125,0,0.001,62.669
5,1,0,1,0,1,0,1,1,78.872,0,317.703,0,0.093,0,0.002,33.03
6,0,1,1,1,1,0,1,1,0,150.826,350.863,386.166,0.116,0,0.002,20.003
10,2,2,2,1,1,0,1,1,161.677,131.277,692.247,745.139,0.158,0,0.003,61.763
7,1,0,1,1,1,1,1,1,120.177,0,354.239,680.312,0.129,0.019,0.002,47.733
4,1,0,1,1,0,0,1,0,59.201,0,247.559,386.968,0,0,0.002,0
10,2,1,1,1,2,1,1,1,133.642,157.441,666.109,719.745,0.195,0.027,0.003,67.981
5,2,0,1,1,0,1,0,0,76.597,0,324.475,634.679,0,0.015,0,0
