workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(tps),Q6(tps),Q12(tps),Q21(tps),new-order(tps),payment(tps),trade-order(tps),trade-update(tps)
75,14,11,11,5,13,11,4,6,0.121168233,0.137296647,0.017888723,0.007213696,79.49242401,379.5518799,0.377782971,0.052101176
51,14,4,6,11,3,9,3,1,0.15544194,0.062553272,0.015693767,0.014593086,21.96646118,413.5743713,96.85084534,0.063161068
39,2,12,14,1,2,5,2,1,0.029825868,0.231361061,0.040610332,0.001520873,19.60692215,304.258728,91.78807068,0.073901698
60,13,10,7,5,5,14,2,4,0.133767292,0.146024376,0.019303093,0.0070306,33.75832367,595.8240967,0.387657225,0.094414979
56,4,10,8,14,6,1,6,7,0.055024598,0.163663045,0.020276401,0.018050287,50.57551575,52.45357132,0.759369969,0.086368889
72,8,0,10,11,11,8,12,12,0.096917979,0,0.025892114,0.014554568,79.23938751,344.0901794,0.975923538,0.092292093
86,10,13,7,10,9,14,12,11,0.092372298,0.163995951,0.011536259,0.013451186,53.09101105,496.0780945,0.771187663,0.065381087
51,0,7,1,9,13,5,10,6,0,0.181016758,0.003287765,0.021580614,115.8144073,263.3304443,1.881249428,0.128473505
38,4,2,9,2,6,7,3,5,0.087787941,0.05570785,0.037520777,0.005361248,61.92593384,437.5643921,0.851221383,0.169528276
41,2,6,7,11,3,3,3,6,0.035165958,0.134027004,0.021209605,0.016978813,35.76432037,222.8285065,0.535310626,0.120968908
37,10,5,2,5,5,4,1,5,0.178485245,0.12233232,0.006616237,0.013516908,55.3392868,266.83255,0.20516625,0.137859404
70,13,9,4,9,14,10,3,8,0.124757953,0.124396466,0.010588594,0.012048851,92.49088287,365.1409607,0.200622618,0.061473619
69,10,13,4,8,12,0,13,9,0.115996838,0.207174703,0.011261357,0.01140435,87.04623413,0,1.181780219,0.084510237
60,12,3,11,2,13,11,3,5,0.136134282,0.048796602,0.030929105,0.002908673,90.89836884,426.7407837,0.396093607,0.076597184
61,7,9,7,4,7,10,5,12,0.087464534,0.161422968,0.020744817,0.006060951,58.28569794,490.3626709,0.455575615,0.11678905
48,4,8,7,10,2,4,5,8,0.065027125,0.162141711,0.020346859,0.014797621,21.17563629,263.502594,0.631163239,0.09807457
