workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(s),Q6(s),Q12(s),Q21th(s),new-order(s),payment(s),trade-order(s),trade-update(s)
39,4,6,6,0,7,6,5,5,98.842,87.315,382.712,0,0.311,0.038,0.003,24.597
35,9,7,2,5,1,4,6,1,131.05,117.9,683.753,785.046,0.303,0.046,0.006,20.104
36,5,5,3,1,1,7,9,5,89.128,72.276,347.205,678.137,0.188,0.031,0.006,21.348
29,2,6,1,2,7,3,5,3,68.828,61.549,325.045,635.818,0.22,0.024,0.003,22.896
36,9,4,6,0,2,6,6,3,114.583,90.965,622.585,0,0.231,0.036,0.003,16.358
40,8,6,2,6,6,4,3,5,124.096,108.677,674.333,797.397,0.328,0.041,0.011,28.011
33,9,1,1,6,9,3,1,3,107.514,88.733,385.974,760.605,0.349,0.034,0.004,32.216
43,8,7,3,1,8,1,7,8,112.228,90.591,616.337,667.49,0.272,0.029,0.012,34.485
40,3,6,5,8,2,5,4,7,90.234,105.944,691.888,848.711,0.274,0.044,0.004,30.172
31,4,3,1,3,4,5,8,3,72.787,60.579,330.158,643.866,0.196,0.028,0.007,20.566
36,5,4,0,6,3,5,8,5,87.191,79.113,0,717.812,0.223,0.034,0.007,25.329
29,2,1,8,2,4,3,9,0,68.373,70.201,412.82,775.9,0.284,0.039,0.003,0
29,2,2,4,4,8,4,3,2,69.935,68.756,374.07,721.619,0.281,0.032,0.004,21.407
27,7,0,2,5,5,2,4,2,85.609,0,362.506,706.74,0.219,0.026,0.005,15.13
33,1,5,8,7,0,0,9,3,70.945,89.79,653.394,795.621,0,0,0.004,30.619
33,4,3,1,8,2,3,4,8,80.983,80.823,400.789,788.806,0.195,0.031,0.006,44.952
29,6,2,5,3,5,1,7,0,97.591,86.746,399.225,764.014,0.277,0.035,0.004,0
45,9,3,7,3,0,5,9,9,110.408,104.866,671.255,732.86,0,0.039,0.011,51.657
44,5,5,9,8,5,2,1,9,106.78,126.369,783.375,944.473,0.352,0.045,0.008,32.246
