workload,Q1(#),Q6(#),Q12(#),Q21(#),new-order(#),payment(#),trade-order(#),trade-update(#),Q1(tps),Q6(tps),Q12(tps),Q21(tps),new-order(tps),payment(tps),trade-order(tps),trade-update(tps)
7,1,1,0,1,2,0,2,0,0.009751293,0.012935335,0,0.001519466,17.53632545,0,77.96349335,0
7,0,1,2,1,1,1,1,0,0,0.012597116,0.005017148,0.001324979,9.52929306,58.73913574,39.19874191,0
9,2,1,1,1,0,2,1,1,0.013278784,0.008001382,0.001569632,0.001445383,0,79.64482117,31.56097794,0.043359023
8,1,2,0,1,1,2,0,1,0.008018912,0.01963722,0,0.001519803,6.836859703,90.23848724,0,0.014784054
7,1,1,2,0,1,0,0,2,0.010510542,0.008122421,0.005752689,0,8.718396187,0,0,0.028075684
9,1,1,1,1,0,1,2,2,0.010501239,0.007720648,0.002841248,0.002546094,0,50.70153046,0.350926459,0.017142832
6,0,0,2,1,2,0,1,0,0,0,0.005558057,0.001476278,19.56451607,0,44.13970566,0
5,0,0,0,0,1,1,2,1,0,0,0,0,12.82773972,76.61862183,114.9440613,0.035472658
7,1,1,1,0,1,1,1,1,0.009403401,0.009445234,0.002946142,0,7.859437466,51.30100632,40.46978378,0.020899817
6,2,1,0,1,0,1,1,0,0.021494396,0.015626635,0,0.001493768,0,60.52463913,41.52747345,0
7,1,1,1,0,0,1,2,1,0.00934383,0.009574402,0.002937095,0,0,50.23838806,79.75502777,0.020042058
5,0,1,0,0,1,1,1,1,0,0.014733302,0,0,12.34757233,76.27591705,58.49683762,0.035012778
7,2,1,1,0,0,1,1,1,0.018982461,0.009715639,0.002908892,0,0,50.61466217,38.68013763,0.020596344
7,1,1,0,1,1,1,1,1,0.009327068,0.009191994,0,0.001520996,7.891879082,52.13775253,39.91400909,0.020757157
6,2,0,0,1,2,0,0,1,0.02187188,0,0,0.001555641,16.50126457,0,0,0.048519909
8,1,1,1,0,2,0,1,2,0.01096706,0.007574346,0.003022728,0,16.53329277,0,9.60368824,0.026812837
8,1,1,1,2,0,1,1,1,0.007591066,0.009330012,0.001603775,0.002693922,0,47.01130295,35.04107285,0.014928617
8,1,1,0,1,1,1,2,1,0.007922486,0.009480051,0,0.001502887,7.228188038,45.50025558,70.37398529,0.01448114
7,1,1,0,1,1,1,1,1,0.009393611,0.009690642,0,0.001526997,8.051766396,52.3573494,38.87260056,0.020420827
5,0,0,1,0,1,1,2,0,0,0,0.004667219,0,11.34635544,68.04679108,95.92579651,0
6,0,0,1,1,2,1,1,0,0,0,0.003086429,0.001592763,18.60396767,62.02791214,42.73711014,0
4,1,0,0,1,1,0,1,0,0.019038673,0,0,0.002884504,12.56495953,0,51.91354752,0
7,0,1,2,1,0,0,2,1,0,0.006181425,0.005201432,0.001361698,0,0,56.4895668,0.012886287
6,1,0,0,2,0,1,1,1,0.009455997,0,0,0.002998903,0,55.94231796,41.96375275,0.047034048
5,1,0,1,1,1,0,1,0,0.014279935,0,0.003091061,0.00159763,11.3246727,0,47.92756271,0
8,2,0,1,0,0,1,2,2,0.019606154,0,0.002977263,0,0,49.40354156,38.12532806,0.031301264
8,1,1,2,1,1,0,0,2,0.008841421,0.007672937,0.00507922,0.001328851,7.625225067,0,0,0.017345071
2,0,1,0,0,1,0,0,0,0,0.066186048,0,0,16.2097702,0,0,0
6,0,1,0,1,1,1,1,1,0,0.008258238,0,0.001663437,9.344047546,59.847435,48.22440338,0.051216897
5,1,1,0,1,1,1,0,0,0.013255501,0.018089784,0,0.001631952,11.30589104,71.62866974,0,0
7,0,2,0,1,1,1,1,1,0,0.021587709,0,0.001554115,8.146816254,50.79153442,40.54112625,0.020394076
6,0,1,1,0,1,2,0,1,0,0.009180123,0.00304683,0,9.682487488,127.0844193,0,0.051188823
9,1,2,1,1,1,0,1,2,0.009043445,0.022520993,0.00273712,0.001450644,7.958417892,0,0.102044232,0.018270358
5,1,0,1,0,1,0,1,1,0.012678711,0,0.003147594,0,10.72100163,0,49.18831635,0.030203076
6,0,1,1,1,1,0,1,1,0,0.006630124,0.002850115,0.00258955,8.589845657,0,46.58446884,0.048773907
10,2,2,2,1,1,0,1,1,0.012370386,0.015234916,0.00288914,0.001342028,6.29812479,0,29.93187523,0.016166795
7,1,0,1,1,1,1,1,1,0.008320991,0,0.002822953,0.001469912,7.745902538,51.12092209,38.30866241,0.02088142
4,1,0,1,1,0,0,1,0,0.016891478,0,0.004039436,0.002584186,0,0,36.05055237,0
10,2,1,1,1,2,1,1,1,0.014965275,0.006351555,0.001501256,0.001389379,10.22830296,36.05761719,31.53411484,0.014662518
5,2,0,1,1,0,1,0,0,0.026120121,0,0.003081901,0.001575597,0,63.88656998,0,0
4,0,1,2,0,0,1,0,0,0,0.023147957,0.0082587,0,0,79.68947601,0,0
8,2,1,1,1,1,2,0,0,0.016227687,0.01138043,0.00163559,0.001499945,7.559103489,94.0110321,0,0
7,0,1,1,2,1,0,1,1,0,0.00770619,0.002672303,0.002790483,7.953032017,0,39.99720001,0.020673774
7,1,0,1,1,1,1,1,1,0.009233625,0,0.002749973,0.001457252,7.864368916,50.97187424,39.42854691,0.020323139
10,1,2,1,1,1,2,1,1,0.006338512,0.015575651,0.001536098,0.001434628,5.534935474,72.12487793,30.40056801,0.0143153
7,0,1,0,1,2,1,1,1,0,0.008001818,0,0.00159823,16.5622654,53.20678329,41.44228363,0.021161748
5,1,0,1,0,1,1,0,1,0.012711467,0,0.003175536,0,10.99071503,69.24134064,0,0.030694867
4,0,1,1,1,0,0,0,1,0,0.011258888,0.004294001,0.002889472,0,0,0,0.031615607
5,1,1,0,1,1,0,0,1,0.013105645,0.014023169,0,0.002730133,10.05424309,0,0,0.029134938
9,2,1,1,1,2,1,0,1,0.015065739,0.008332472,0.001525928,0.001404481,12.36028004,41.30122375,0,0.043970887
8,1,2,0,1,1,0,2,1,0.007860931,0.019184422,0,0.00150309,7.416879177,0,71.15763092,0.014509787
6,1,0,1,0,2,1,0,1,0.010792593,0,0.003049287,0,18.70973396,58.77070999,0,0.048945308
8,1,1,1,0,1,1,1,2,0.011322318,0.012707853,0.003094921,0,8.883888245,55.96836853,0.139797062,0.018305752
6,1,1,1,1,0,0,1,1,0.010818463,0.009628701,0.002975991,0.001585842,0,0,31.75768089,0.018251112
6,0,1,0,1,1,2,0,1,0,0.008259726,0,0.002711416,9.439486504,124.8235474,0,0.048943684
7,0,1,2,1,1,1,0,1,0,0.005349238,0.005238983,0.001411389,7.486073017,49.94607162,0,0.019310411
11,2,2,1,2,1,1,1,1,0.012650462,0.011985985,0.001454596,0.002552595,4.354235649,29.4349556,28.98780441,0.031594779
4,0,0,1,0,0,1,2,0,0,0,0.004982247,0,0,83.61694336,112.7107468,0
9,1,2,1,2,1,1,0,1,0.007471117,0.015103563,0.001568305,0.002684283,5.811868191,40.15733337,0,0.042446762
5,0,0,2,1,0,1,0,1,0,0,0.00611281,0.001668009,0,59.54677582,0,0.028488947
9,2,0,1,0,1,2,2,1,0.015424842,0,0.001561251,0,6.096493721,77.3919754,62.77772522,0.042937938
5,0,1,1,0,1,0,1,1,0,0.009542561,0.004430169,0,10.66980648,0,58.40786743,0.030804351
11,1,1,1,2,2,1,2,1,0.005854938,0.005800641,0.001402127,0.002491695,9.72735405,33.6965332,53.98896027,0.032333959
5,0,1,0,2,0,0,1,1,0,0.007875653,0,0.004881674,0,0,35.80757904,0.019454245
8,1,1,1,0,1,1,1,2,0.01125945,0.012508561,0.003004988,0,8.425574303,55.090065,0.15626891,0.022931667
7,1,0,1,1,1,0,1,2,0.012095628,0,0.002976837,0.002667926,7.888333321,0,0.192187205,0.027208779
8,1,1,1,0,2,1,2,0,0.008288204,0.011527757,0.002955035,0,14.21039677,48.34174728,71.62659454,0
7,0,2,1,1,1,1,0,1,0,0.019493259,0.0028615,0.001500573,7.687621593,50.47094345,0,0.020112848
8,2,1,1,1,0,1,1,1,0.015620979,0.00927337,0.001603777,0.001446035,0,47.05723572,35.4712677,0.014732579
4,0,0,0,1,1,1,1,0,0,0,0,0.003084773,13.68199253,83.55606079,54.9755249,0
5,1,1,0,0,1,1,1,0,0.014644838,0.01986094,0,0,11.38396549,71.13703918,49.31212616,0
7,2,1,1,0,0,2,1,0,0.018661154,0.012908556,0.002867466,0,0,106.311615,39.43280029,0
